# Threat Intelligence Indicator Feed
# Source: James Brine STIX dataset (converted from STIX 2.x to CSV)
# Description: This dataset contains cyber threat indicators extracted from STIX Indicator objects.
# Each row represents a single indicator associated with malicious activity such as brute-force attacks.

# Column Descriptions:
# id            : Internal numeric identifier for the indicator record generated during the STIX-to-CSV conversion process.
# indicator_id  : STIX Indicator Object ID (format: indicator--UUID). This uniquely identifies the indicator in the STIX dataset.
# indicator     : The observable value extracted from the STIX pattern. In this dataset it represents an IPv4 address used in malicious activity.
# valid_from    : Timestamp indicating when the indicator became valid or was first observed in threat intelligence.
# created       : Timestamp when the STIX indicator object was originally created.
# modified      : Timestamp when the STIX indicator object was last modified or updated.
# name          : Human-readable label describing the threat activity associated with the indicator.

# Timestamp Format:
# All timestamps follow the format: YYYY-MM-DD HH:MM:SS (UTC unless otherwise specified).

# Indicator Type:
# Most indicators in this dataset represent IPv4 addresses associated with brute-force attacks
# such as SSH or NTP service scanning.

# Data Origin:
# Converted from STIX 2.x objects into CSV format for easier querying, analytics, and SIEM ingestion.

# Note:
# Duplicate indicators may exist if the same observable was reported at different times or associated
# with different STIX objects.


"id","indicator_id","indicator","valid_from","created","modified","name"
"64179702","indicator--00f666c1-3551-4d37-970c-e042a5676021","147.0.22.179","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179702","indicator--58766c38-4c0b-489c-87f2-be301e9024b8","147.0.22.179","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179702","indicator--b63338c2-c634-49b8-9553-132dedd10ceb","147.0.22.179","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179677","indicator--6f3c7e03-f48c-405c-abb3-de113dd8461c","95.85.24.147","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179677","indicator--c4853314-b51a-4257-b5d0-3c9b010ae886","95.85.24.147","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64177051","indicator--366b24e4-749f-406c-990e-a01dbb459244","46.39.20.4","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179613","indicator--d68569ec-eb5b-48ee-adcc-605df30c8937","121.48.165.2","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179749","indicator--43c6e0aa-7ca3-4569-bdc7-fc4c429ba849","106.51.50.2","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170372","indicator--6f42c7b6-72b9-4cb3-8c1f-c32cb5d4973b","114.67.123.3","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64177051","indicator--9194d13c-2fa1-4c11-9027-cb76ec17ae26","46.39.20.4","2020-08-23 20:57:38","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170387","indicator--494ccf5e-3470-46a7-8c83-6bfe101680f6","218.92.0.192","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170372","indicator--faac81c4-8ca1-4240-86b5-5a9305499008","114.67.123.3","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170372","indicator--b8da2e7f-bc5b-47e7-8ced-34687216fa46","114.67.123.3","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179629","indicator--67f36494-2659-4510-b434-4568be6c052d","51.77.148.7","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179749","indicator--d934674f-8550-4d80-a33b-a893c5c77ca3","106.51.50.2","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179613","indicator--7e7ccf4e-0c28-448a-8541-6c23fda0d63a","121.48.165.2","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170387","indicator--0b9fb784-8e73-4f33-ac0f-03cabd12ed85","218.92.0.192","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179511","indicator--7ec536db-1793-413e-b83e-f532c55a842e","103.21.53.11","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179613","indicator--c639d16d-92fe-482d-afac-ddab4849038a","121.48.165.2","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64172529","indicator--35e529a6-b7a7-4531-9024-fcde9326ca35","210.9.47.154","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170387","indicator--7868e4d8-146d-4b74-9492-e063e99fdb8b","218.92.0.192","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179624","indicator--fc4408d6-f1cc-44e2-9ea2-a45db22282f5","142.93.251.1","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170387","indicator--b8a29bee-4bc7-4661-a553-259c23932e5a","218.92.0.192","2020-08-23 20:57:39","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179862","indicator--6408b33c-9362-4555-ab8e-18a9959b9618","96.57.173.66","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64178501","indicator--e57bf5dd-9e74-4392-ab8c-00b926b0d52d","58.240.196.6","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179673","indicator--a87cda5a-22e0-48d9-845f-6e0ae74a110f","106.13.36.10","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64178501","indicator--537aa2ae-6f49-4401-8e90-2970b2a0179a","58.240.196.6","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179862","indicator--976697c5-68a4-48ee-a729-c75288106ad5","96.57.173.66","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179590","indicator--2ca878e3-1aeb-4278-b185-f783b65ca79e","81.68.137.74","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64179620","indicator--de568703-b277-4fd2-91d2-f0ea3f89ff4b","139.59.68.15","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170387","indicator--d0447b18-77fe-446e-a10f-f575e6b15e2a","218.92.0.192","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170651","indicator--d9e9c9e4-a14d-4f7a-aebb-40fac6fc5515","125.99.46.50","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64170651","indicator--d28e157d-8176-4fcb-8a8a-1155bfc38e0e","125.99.46.50","2020-08-23 20:57:41","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
